"id","author","title","outcome"
"9","Dranove et al. (2021)","A Dose of Managed Care: Controlling Drug Spending in Medicaid","lnpriceperpresc"
"21","Buchmueller, Carey (2018)","The Effect of Prescription Drug Monitoring Programs on Opioid Utilization in Medicare","GT4pres"
"25","Carrillo, Feres (2019)","Provider Supply, Utilization, and Infant Health: Evidence from a Physician Distribution Policy","physician_cpta"
"44","Bosch, Campos-Vazquez (2014)","The Trade-Offs of Welfare Policies in Labor Markets with Informal Jobs: The Case of the Seguro Popular Program in Mexico","p3"
"47","Clemens (2015)","Regulatory Redistribution in the Market for Health Insurance","priv_ins_cov_supp"
"60","Schmitt (2018)","Multimarket Contact in the Hospital Industry","lnprnonmed"
"61","Evans, Garthwaite (2014)","Giving Mom a Break: The Impact of Higher EITC Payments on Maternal Health","excel_vgood"
"65","Akosa Antwi, Moriya & Simon (2013)","Effects of Federal Policy to Insure Young Adults: Evidence from the 2010 Affordable Care Act's Dependent-Coverage Mandate","anyhi"
"68","Tanaka (2014)","Does Abolishing User Fees Lead to Improved Health Status? Evidence from Post-Apartheid South Africa","waz"
"76","Lawler, Yewell (2023)","The Effect of Hospital Postpartum Care Regulations on Breastfeeding and Maternal Time Allocation","bf_ever"
"79","Carpenter, Lawler (2019)","Direct and Spillover Effects of Middle School Vaccination Requirements","P_U13TDAP"
"80","Marcus et al. (2022)","The Long-Run Effects of Sports Club Vouchers for Primary School Children","sportsclub"
"97","Bhalotra et al. (2021)","Urban Water Disinfection and Mortality Decline in Lower-Income Countries","ins_rate_under5"
"125","Levine, McKnight & Heep (2011)","How Effective are Public Policies to Increase Health Insurance Coverage Among Young Adults?","insured"
"133","Hoynes et al. (2015)","Income, the Earned Income Tax Credit, and Infant Health","lowbirth"
"147","Greenstone, Hanna (2014)","Environmental Regulations, Air and Water Pollution, and Infant Mortality in India","e_spm_mean"
"201","Maclean & Pabilonia (2025)","The effects of state paid sick leave mandates on parental childcare time","carehh_k"
"210","Li et al. (2026)","Has the Shortened Drug Distribution Chain Cut Drug Prices? Evidence from China","lnprice"
"213","Estrada & Lombardi (2022)","The Effect of High Dismissal Protection on Bureaucratic Turnover and Productivity","left_school_plus1"
"228","Sarmiento, Wagner & Zaklan (2023)","The Air Quality and Well-Being Effects of Low Emission Zones","pm10"
"233","Kresch (2020)","The Impact of Water and Sanitation Regulation on Municipal Investment in Brazil","invest_total"
"234","Myers (2017)","The Power of Abortion Policy: Re-examining the Effects of Young Women's Access to Reproductive Control","firstbirth18"
"241","Soliman (2025)","","MME_PC"
"242","Moorthy, Shaloka (2025)","Blue Collar Booms and American Mortality: Evidence from the Fracking Revolution","lnearns_gen1_a1499"
"253","Bancalari (2024)","The Unintended Consequences of Infrastructure Development","vs_imr1y"
"254","Gandhi et al. (2024)","The Effect of Medicaid Reimbursement Rates on Nursing Home Staffing","hours_nursing_ratio_i"
"262","Anderson, Charles, Rees (2020)","Imposing Policy on Reluctant Actors: The Hospital Desegregation Campaign and Black Postneonatal Mortality in the Deep South","post_neonatal_rate"
"263","Axbard, Deng (2024)","Informed Enforcement: Lessons from Pollution Monitoring in China","any_air"
"267","Bhalotra, Clarke, Gomes, Venkataramani (2022)","Maternal Mortality and Women's Political Power","lnMMRt1"
"271","Sekhri, Shastry (2024)","The Curse of Plenty: The Green Revolution and the Rise in Chronic Disease","hyv_major"
"281","Steffens, Pereda (2025)","Dynamic responses to smoking bans: Evidence from young adults in a developing country","smoke"
"290","Arbogast et al. (2022)","Administrative Burdens and Child Medicaid Enrollments","mchiprate"
"304","Arthi, Beach & Hanlon (2022)","Recessions, Mortality, and Migration Bias: Evidence from the Lancashire Cotton Famine","census_mr_tot"
"305","Brodeur, Yousaf (2020)","On the Economic Consequences of Mass Shootings","ln_emp_pop"
"309","Johnson, Schwab, Koval (2024)","Legal Protection Against Retaliatory Firing Improves Workplace Safety","ln_acc_rateY_matt"
"311","Galasso & Schankerman (2024)","Licensing Life-Saving Drugs for Developing Countries: Evidence from the Medicines Patent Pool","access"
"321","Xu (2023)","Bureaucratic Representation and State Responsiveness: The 1918 Pandemic in India","log_deaths_town"
"323","Prem, Vargas, Mejia (2023)","The Rise and Persistence of Illegal Crops: Evidence from a Naive Policy Announcement","coca_area_grid"
"333","Clarke, Muhlrad (2021)","Abortion laws and women's health","abortionRelatedPop"
"335","Le Moglie, Sorrenti (2022)","Revealing 'Mafia Inc.'? Financial Crisis, Organized Crime, and the Birth of New Enterprises","new_std_ln"
"337","Cameron, Seager, Shah (2021)","Crimes against Morality: Unintended Consequences of Criminalizing Sex Work","sept_any"
"347","Courtemanche et al. (2025)","Chain Restaurant Calorie Posting Laws, Obesity, and Consumer Welfare","bmi"
"358","Bargain, Boutin, Champeaux (2019)","Women's Political Participation and Intrahousehold Empowerment: Evidence from the Egyptian Arab Spring","ibp"
"359","Anderson, Charles, Olivares, Rees (2019)","Was the First Public Health Campaign Successful?","ln_tb_lungs"
"380","Kuziemko, Meckel, Rossin-Slater (2018)","Does Managed Care Affect Birth Outcomes? Evidence from Texas's Medicaid Managed Care Mandate","blan_mort100"
"395","Malkova (2018)","The Effect of Soviet Maternity Benefits on Fertility","gfr_official"
"401","Rossin-Slater (2017)","Signing Up New Fathers: Do Paternity Establishment Initiatives Increase Marriage, Parental Investment, and Child Well-Being?","married_tobiodad"
"419","Kahn, Li, Zhao (2015)","Water Pollution Progress at Borders: The Role of Changes in China's Political Promotion Incentives","cod"
"420","Bailey, Goodman-Bacon (2015)","The War on Poverty's Experiment in Public Medicine: Community Health Centers and the Mortality of Older Americans","amr_eld"
"432","Gallagher (2014)","Learning about an Infrequent Event: Evidence from Flood Insurance Take-Up in the United States","ln_takeup_proxy1"
"433","DeAngelo, Hansen (2014)","Life and Death in the Fast Lane: Police Enforcement and Traffic Fatalities","fat_vmt"
"437","Hausman (2014)","Corporate Incentives and Nuclear Safety","personrem"
"","Danzer & Zyska (2023)","","Y"
"744","Jayachandran et al. (2010)","Modern Medicine and the 20th Century Decline in Mortality","lnm_rate"
"","Fisman & Wang (2017)","","exceedquota"
"","Cao & Ma (2023)","","ft90"
