id,verdict
9,EXACT
21,EXACT
25,EXACT
44,NOT_APPLICABLE
47,EXACT
60,EXACT
61,WARN
65,EXACT
68,WARN
76,EXACT
79,EXACT
80,EXACT
97,EXACT
125,WITHIN_TOLERANCE
133,WARN
147,WARN
201,EXACT
210,WITHIN_TOLERANCE
213,EXACT
228,NOT_APPLICABLE
233,EXACT
234,FAIL
241,WARN
242,FAIL
253,EXACT
254,NOT_APPLICABLE
262,EXACT
263,EXACT
267,EXACT
271,EXACT
281,NOT_APPLICABLE
290,WARN
304,EXACT
305,EXACT
309,EXACT
311,EXACT
321,EXACT
323,NOT_APPLICABLE
333,EXACT
335,EXACT
337,EXACT
347,EXACT
358,EXACT
359,EXACT
380,FAIL
395,NOT_APPLICABLE
401,WITHIN_TOLERANCE
419,EXACT
420,NOT_APPLICABLE
432,NOT_APPLICABLE
433,WITHIN_TOLERANCE
437,EXACT
525,WITHIN_TOLERANCE
744,EXACT
1094,WARN
2303,EXACT
