"id","author_label","n_ctrls","status","att","se","att_dyn","se_dyn","elapsed_sec"
47,"Clemens (2015)",15,"OK",0,NA,0,NA,136.2
65,"Akosa Antwi, Moriya & Simon (2013)",12,"OK",0,NA,0,NA,77.7
76,"Lawler, Yewell (2023)",21,"OK",0,NA,0,NA,210.7
79,"Carpenter, Lawler (2019)",53,"OK",0,NA,0,NA,152.4
97,"Bhalotra et al. (2021)",6,"OK",0,NA,0,NA,7.9
133,"Hoynes et al. (2015)",10,"OK",0,NA,0,NA,20.5
147,"Greenstone, Hanna (2014)",9,"OK",0,NA,0,NA,1
201,"Maclean & Pabilonia (2025)",19,"OK",0,NA,0,NA,107.9
262,"Anderson, Charles, Rees (2020)",3,"OK",0,NA,0,NA,1.6
290,"Arbogast et al. (2022)",8,"OK",0,NA,0,NA,7.9
335,"Le Moglie, Sorrenti (2022)",18,"OK",0,NA,0,NA,0.6
358,"Bargain, Boutin, Champeaux (2019)",30,"OK",0,NA,0,NA,15
359,"Anderson, Charles, Olivares, Rees (2019)",7,"OK",0,NA,0,NA,5.6
401,"Rossin-Slater (2017)",35,"OK",0,NA,0,NA,14.5
525,"Danzer & Zyska (2023)",1,"OK",0,NA,0,NA,300
744,"Jayachandran et al. (2010)",3,"OK",0,NA,0,NA,0.9
