"spec","att","se","n_units","article_id"
"1. Baseline (no controls)",-70.038131595302,12.956303686353,2945,"241"
"2. + Region dummies",-66.4735305872031,13.8178737081354,2945,"241"
"3. + State dummies (full)",0,NA,2945,"241"
"4. + State dummies (overlap ≥5)",-84.6457633523787,17.8024142409252,307,"241"
"5. + State dummies (overlap ≥3)",-64.6051222923766,11.5953422349241,1224,"241"
"1. Baseline (no controls)",3.60467126421414,0.707558964344796,486,"91"
"2. + Region dummies",3.74085249498279,0.73297636748267,486,"91"
"3. + State dummies (full)",0,NA,486,"91"
"4. + State dummies (overlap ≥5)",0.948454760808825,0.64146711307047,233,"91"
"5. + State dummies (overlap ≥3)",0.149517960021488,0.61688979664276,304,"91"
"1. Baseline (no controls)",69.7517844119774,12.2356094703671,270,"271"
"2. + Region dummies",57.6236093105803,18.5762044261071,270,"271"
"3. + State dummies (full)",36.8110287752929,17.7448555230862,270,"271"
"4. + State dummies (overlap ≥5)",111.3973361656,27.6114708290158,35,"271"
"5. + State dummies (overlap ≥3)",65.855365938843,16.404575846817,152,"271"
"1. Baseline (no controls)",-0.351364515805228,0.0425730952157474,2826,"97"
"2. + Region dummies",-0.349035826072063,0.0484561892290575,2826,"97"
"3. + State dummies (full)",-0.351364515805228,0.0417976917955109,2826,"97"
"4. + State dummies (overlap ≥5)",-0.352553637713428,0.0409160331828477,2810,"97"
"5. + State dummies (overlap ≥3)",-0.351364515805228,0.0389829183732095,2826,"97"
"1. Baseline (no controls)",0.00259567620388425,0.00375864181876514,36103,"263"
"3. + State dummies (full)",0.00285387636183783,0.00461662667350205,36103,"263"
"4. + State dummies (overlap ≥5)",0.00285524334791508,0.00424861139648355,36095,"263"
"1. Baseline (no controls)",0.114402687701988,0.0066953952692055,5565,"25"
"2. + Region dummies",0.113960338606309,0.00673994399884548,5565,"25"
"3. + State dummies (full)",0,NA,5565,"25"
"4. + State dummies (overlap ≥5)",0.115908071014477,0.00769730890966733,5397,"25"
"1. Baseline (no controls)",3329.351,1248.283,1346,"233"
"2. + Region dummies",2684.633,1331.049,1346,"233"
"3. + State dummies (full)",1884.4,1550.305,1346,"233"
"4. + State dummies (overlap ≥5)",2015.256,1835.747,680,"233"
